timestamp,uptime_min,interval_s,rtcm_frame_rate_fps,valid_frames_interval,parsed_frames_interval,bad_crc_interval,crc_error_percent_interval,message_types_interval,serial_input_Bps,client_output_Bps,client_count,peak_client_count,total_valid_frames,total_bad_crc,total_client_bytes,station,svin
2026-07-08 10:01:49,14.552,1.003,9.970,10,10,0,0.000,"1005:1, 1074:1, 1077:1, 1084:1, 1087:1, 1094:1, 1097:1, 1124:1, 1127:1, 1230:1",3576.1,1429.6,1,1,8401,37,593999,RTCM1005 age=0.2s,DONE dur=1145s obs=1122 acc=0.9994m valid=1 active=0 age=0.2s
2026-07-08 10:01:50,14.569,1.005,8.951,9,9,0,0.000,"1074:1, 1077:1, 1084:1, 1087:1, 1094:1, 1097:1, 1124:1, 1127:1, 1230:1",3567.5,1401.3,1,1,8410,37,595408,RTCM1005 age=1.2s,DONE dur=1145s obs=1122 acc=0.9994m valid=1 active=0 age=0.2s
2026-07-08 10:01:51,14.589,1.186,6.744,8,10,2,20.000,"1005:1, 1084:1, 1087:1, 1094:1, 1097:1, 1124:1, 1127:1, 1230:1",2990.9,930.7,1,1,8418,39,596512,RTCM1005 age=0.4s,DONE dur=1145s obs=1122 acc=0.9994m valid=1 active=0 age=0.4s
2026-07-08 10:01:52,14.606,1.003,9.967,10,10,0,0.000,"1005:1, 1074:1, 1077:1, 1084:1, 1087:1, 1094:1, 1097:1, 1124:1, 1127:1, 1230:1",3534.5,1390.5,1,1,8428,39,597907,RTCM1005 age=0.4s,DONE dur=1145s obs=1122 acc=0.9994m valid=1 active=0 age=0.4s
2026-07-08 10:01:53,14.625,1.196,8.362,10,10,0,0.000,"1005:1, 1074:1, 1077:1, 1084:1, 1087:1, 1094:1, 1097:1, 1124:1, 1127:1, 1230:1",2965.1,1166.5,1,1,8438,39,599302,RTCM1005 age=0.6s,DONE dur=1145s obs=1122 acc=0.9994m valid=1 active=0 age=0.6s
2026-07-08 10:01:54,14.642,1.004,9.957,10,10,0,0.000,"1005:1, 1074:1, 1077:1, 1084:1, 1087:1, 1094:1, 1097:1, 1124:1, 1127:1, 1230:1",3530.6,1388.9,1,1,8448,39,600697,RTCM1005 age=0.6s,DONE dur=1145s obs=1122 acc=0.9994m valid=1 active=0 age=0.6s
2026-07-08 10:01:56,14.661,1.153,13.879,16,16,0,0.000,"1005:1, 1074:2, 1077:2, 1084:2, 1087:2, 1094:2, 1097:2, 1124:1, 1127:1, 1230:1",3997.9,2068.8,1,1,8464,39,603082,RTCM1005 age=0.8s,DONE dur=1145s obs=1122 acc=0.9994m valid=1 active=0 age=0.8s
2026-07-08 10:01:57,14.679,1.043,12.462,13,13,0,0.000,"1005:1, 1074:1, 1077:1, 1084:1, 1087:1, 1094:1, 1097:1, 1124:2, 1127:2, 1230:2",4418.2,1776.3,1,1,8477,39,604935,RTCM1005 age=0.8s,DONE dur=1145s obs=1122 acc=0.9994m valid=1 active=0 age=0.8s
2026-07-08 10:01:58,14.696,1.005,9.951,10,10,0,0.000,"1005:1, 1074:1, 1077:1, 1084:1, 1087:1, 1094:1, 1097:1, 1124:1, 1127:1, 1230:1",3515.6,1388.1,1,1,8487,39,606330,RTCM1005 age=0.8s,DONE dur=1145s obs=1122 acc=0.9994m valid=1 active=0 age=0.8s
2026-07-08 10:01:59,14.712,1.002,9.978,10,10,0,0.000,"1005:1, 1074:1, 1077:1, 1084:1, 1087:1, 1094:1, 1097:1, 1124:1, 1127:1, 1230:1",3546.2,1430.9,1,1,8497,39,607764,RTCM1005 age=0.8s,DONE dur=1145s obs=1122 acc=0.9994m valid=1 active=0 age=0.8s
2026-07-08 10:02:00,14.729,1.008,9.917,10,10,0,0.000,"1005:1, 1074:1, 1077:1, 1084:1, 1087:1, 1094:1, 1097:1, 1124:1, 1127:1, 1230:1",3555.3,1422.1,1,1,8507,39,609198,RTCM1005 age=0.8s,DONE dur=1145s obs=1122 acc=0.9994m valid=1 active=0 age=0.8s
2026-07-08 10:02:01,14.749,1.186,9.279,11,11,0,0.000,"1005:2, 1074:1, 1077:1, 1084:1, 1087:1, 1094:1, 1097:1, 1124:1, 1127:1, 1230:1",4283.4,1197.8,1,1,8518,39,610618,RTCM1005 age=0.0s,DONE dur=1145s obs=1122 acc=0.9994m valid=1 active=0 age=0.0s
2026-07-08 10:02:02,14.769,1.196,8.365,10,10,0,0.000,"1005:1, 1074:1, 1077:1, 1084:1, 1087:1, 1094:1, 1097:1, 1124:1, 1127:1, 1230:1",2966.1,1166.9,1,1,8528,39,612013,RTCM1005 age=0.2s,DONE dur=1145s obs=1122 acc=0.9994m valid=1 active=0 age=0.2s
2026-07-08 10:02:03,14.785,1.003,9.965,10,10,0,0.000,"1005:1, 1074:1, 1077:1, 1084:1, 1087:1, 1094:1, 1097:1, 1124:1, 1127:1, 1230:1",3572.5,1429.0,1,1,8538,39,613447,RTCM1005 age=0.2s,DONE dur=1145s obs=1122 acc=0.9994m valid=1 active=0 age=0.2s
2026-07-08 10:02:04,14.802,1.021,9.794,10,10,0,0.000,"1005:1, 1074:1, 1077:1, 1084:1, 1087:1, 1094:1, 1097:1, 1124:1, 1127:1, 1230:1",3511.0,1404.4,1,1,8548,39,614881,RTCM1005 age=0.2s,DONE dur=1145s obs=1122 acc=0.9994m valid=1 active=0 age=0.2s
2026-07-08 10:02:05,14.820,1.026,9.745,10,10,0,0.000,"1005:1, 1074:1, 1077:1, 1084:1, 1087:1, 1094:1, 1097:1, 1124:1, 1127:1, 1230:1",3545.3,1436.5,1,1,8558,39,616355,RTCM1005 age=0.2s,DONE dur=1145s obs=1122 acc=0.9994m valid=1 active=0 age=0.2s
